Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2020-01-09 14:59 (EST),On Demand,Jenn Sherman,5,Cycling,Low Impact,5 min Cool Down Ride,2019-12-24 08:00 (EST),19,65,31%,82,13.40,1.11,25,,,
2020-01-09 15:05 (EST),On Demand,Jenn Sherman,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-10-14 15:44 (EST),,,,,,,12,,,
2020-01-10 09:01 (EST),On Demand,Cody & Emma ,30,Cycling,Groove,30 min Two for One: Groove Ride,2020-01-09 20:18 (EST),159,89,35%,83,15.04,7.52,210,,,
2020-01-11 05:57 (EST),On Demand,Ally Love,5,Cycling,Low Impact,5 min Warm Up Ride,2019-11-23 08:00 (EST),17,58,29%,83,12.69,1.06,23,,,
2020-01-11 06:05 (EST),On Demand,Denis Morton,20,Cycling,Music,20 min 80s Pop Ride,2019-12-10 10:52 (EST),133,111,37%,87,16.40,5.46,175,,,
2020-01-11 06:27 (EST),On Demand,Jess King,20,Cycling,Music,20 min Trap Music Ride,2020-01-10 09:51 (EST),192,160,46%,81,19.15,6.38,253,,,
2020-01-11 06:49 (EST),On Demand,Kendall Toole,15,Cycling,Low Impact,15 min Low Impact Ride,2019-09-17 16:14 (EST),64,71,34%,80,13.85,3.46,84,,,
2020-01-12 13:51 (EST),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2020-01-08 11:18 (EST),214,119,39%,85,16.95,8.47,282,,,
2020-01-13 09:06 (EST),On Demand,Christine D'Ercole,20,Cycling,Low Impact,20 min Low Impact Ride,2019-12-30 10:52 (EST),103,86,35%,84,14.99,4.99,136,,,
2020-01-14 05:52 (EST),On Demand,Hannah Corbin,5,Cycling,Low Impact,5 min Warm Up Ride,2020-01-12 15:00 (EST),17,58,29%,83,12.57,1.04,23,,,
2020-01-14 06:00 (EST),Live,Ally Love,45,Cycling,Intervals,45 min Tabata Ride,2020-01-14 05:48 (EST),372,138,45%,75,17.46,13.10,489,,,
2020-01-14 06:48 (EST),On Demand,Robin Arzon,5,Cycling,Low Impact,5 min Cool Down Ride,2019-12-18 08:30 (EST),16,54,27%,86,11.94,0.99,21,,,
2020-01-14 06:54 (EST),On Demand,Robin Arzon,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-10 15:33 (EST),,,,,,,12,,,
2020-01-15 06:24 (EST),On Demand,Christine D'Ercole,20,Cycling,Music,20 min 90s Rock Ride,2020-01-13 10:19 (EST),134,112,38%,85,16.61,5.53,177,,,
2020-01-16 09:22 (EST),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2020-01-04 08:30 (EST),,,,,,,49,,,
2020-01-16 10:25 (EST),On Demand,Hannah Corbin,10,Stretching,Full Body Stretch,10 min Foam Rolling,2019-05-30 12:26 (EST),,,,,,,25,,,
2020-01-17 08:58 (EST),On Demand,Ally Love,20,Cycling,Low Impact,20 min Recovery Ride,2019-11-09 07:00 (EST),91,76,35%,79,14.33,4.78,120,,,
2020-01-18 06:00 (EST),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Max Ride,2019-11-20 11:19 (EST),221,123,38%,85,16.49,8.24,291,,,
2020-01-18 06:33 (EST),On Demand,Robin Arzon,20,Cycling,Low Impact,20 min Low Impact Ride,2020-01-16 10:51 (EST),167,140,43%,84,18.42,6.13,220,,,
2020-01-18 06:55 (EST),On Demand,Leanne Hainsby,10,Cycling,Low Impact,10 min Cool Down Ride,2020-01-18 04:32 (EST),45,76,34%,79,14.20,2.36,60,,,
2020-01-19 08:49 (EST),On Demand,Aditi Shah,30,Yoga,Flow,30 min Yoga Flow,2020-01-16 17:49 (EST),,,,,,,110,,,
2020-01-19 09:29 (EST),On Demand,Cody Rigsby,30,Cycling,Music,30 min Lady Gaga Ride,2020-01-16 20:18 (EST),242,134,44%,82,17.88,8.94,318,,,
2020-01-19 10:04 (EST),On Demand,Matty Maggiacomo,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2020-01-16 11:25 (EST),,,,,,,25,,,
2020-01-20 09:34 (EST),On Demand,Christine D'Ercole,10,Cycling,Low Impact,10 min Cool Down Ride,2020-01-06 11:02 (EST),42,70,31%,89,13.96,2.33,55,,,
2020-01-21 06:00 (EST),On Demand,Denis & Matt ,60,Cycling,Power Zone,60 min Two for One: Power Zone Ride,2020-01-18 12:52 (EST),382,106,35%,85,15.26,15.26,502,,,
2020-01-22 10:45 (EST),On Demand,Jenn Sherman,20,Cycling,Low Impact,20 min Low Impact Ride,2020-01-20 09:51 (EST),124,103,38%,83,15.96,5.31,163,,,
2020-01-23 11:03 (EST),On Demand,Robin Arzon,20,Cycling,Low Impact,20 min Recovery Ride,2019-12-28 08:30 (EST),102,85,34%,87,14.97,4.99,134,,,
2020-01-24 18:23 (EST),On Demand,Ben Alldis,10,Cycling,Climb,10 min Climb Ride,2020-01-18 08:32 (EST),95,159,49%,74,19.21,3.20,126,,,
2020-01-25 10:06 (EST),On Demand,Jess King,20,Cycling,Music,20 min 80s Ride,2020-01-24 09:51 (EST),188,157,46%,82,19.10,6.36,247,,,
2020-01-25 10:37 (EST),On Demand,Olivia Amato,10,Stretching,Lower Body Stretch,10 min Glutes & Legs Stretch,2020-01-21 10:32 (EST),,,,,,,25,,,
2020-01-26 06:56 (EST),On Demand,Christine D'Ercole,30,Cycling,Power Zone,30 min Power Zone Ride,2020-01-20 10:19 (EST),226,125,38%,92,17.41,8.70,297,,,
2020-01-27 11:20 (EST),On Demand,Cody Rigsby,20,Cycling,Music,20 min 90s Pop Ride,2020-01-26 07:00 (EST),184,154,48%,77,19.08,6.35,242,,,
2020-01-27 11:41 (EST),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-21 16:31 (EST),,,,,,,12,,,
